,Product Name,Price,display,rating,discount
0,Asus VivoBook S14 Core i7 8th Gen - (8 GB/1 TB HDD/256 ...,69990.0,"14 inch, Icicle Gold, 1.4 kg",4.7,29 
1,Asus VivoBook S14 Core i7 8th Gen - (8 GB/1 TB HDD/256 ...,69990.0,"14 inch, Gun Metal, 1.4 kg",4.7,29 
2,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Ma...,61990.0,"13.3 inch, Silver, 1.35 kg",4.7,26 
3,Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/DOS...,26990.0,"15.6 inch, Black, 2.1 kg",4,30 
4,Acer Swift 3 Core i5 8th Gen - (8 GB/512 GB SSD/Windows...,54990.0,"14 inch, Sparkly Silver, 1.35 kg",4.6,12 
5,Lenovo Ideapad S145 APU Dual Core A6 - (4 GB/1 TB HDD/W...,20999.0,"15.6 inch, Platinum Grey, 1.85 kg",4,20 
6,Lenovo Ideapad 130 APU Dual Core A6 - (4 GB/1 TB HDD/Wi...,19990.0,"15.6 inch, Black, 2.1 kg, With MS Office",3.9,17 
7,HP 14q APU Dual Core A9 - (4 GB/256 GB SSD/Windows 10 H...,19990.0,"14 inch, Jet Black, 1.47 kg",4.1,18 
8,Asus VivoBook 14 Core i3 7th Gen - (4 GB/256 GB SSD/Win...,33990.0,"14 inch, Transparent Silver, 1.5 kg",4.3,19 
9,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,51990.0,"14 inch, Silver Blue -Yellow, 1.40 kg",4.5,31 
10,Lenovo Ideapad S145 Ryzen 3 Dual Core - (4 GB/1 TB HDD/...,25990.0,"15.6 inch, Platinum Grey, 1.85 kg, With MS Office",4.1,22 
11,Lenovo Ideapad 130 Core i3 7th Gen - (4 GB/1 TB HDD/Win...,27990.0,"15.6 inch, Black, 2.1 kg, With MS Office",4,15 
12,Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB ...,49990.0,"15.6 inch, Obsidian Black, 2.3 kg",4.6,21 
13,HP 15q APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Hom...,22990.0,"15.6 inch, Jet Black, 2.18 kg",4.1,16 
14,HP 14q Core i3 7th Gen - (8 GB/256 GB SSD/Windows 10 Ho...,31990.0,"14 inch, Jet Black, 1.47 kg, With MS Office",4.3,7 
15,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,51990.0,"14 inch, Icicle Gold, 1.40 kg",4.5,24 
16,Lenovo Ideapad 330 APU Dual Core A6 - (4 GB/1 TB HDD/DO...,18999.0,"15.6 inch, Onyx Black",3.8,17 
17,HP 15 Core i3 7th Gen - (8 GB/1 TB HDD/Windows 10 Home)...,33990.0,"15.6 inch, Sparkling Black",4.2,12 
18,HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/12...,49990.0,"15.6 inch, Shadow Black, 2.19 kg",4.5,14 
19,Lenovo Ideapad 130 Core i5 8th Gen - (8 GB/1 TB HDD/Win...,39990.0,"15.6 inch, Black, 2.1 kg",4.2,26 
20,Dell 14 3000 Core i3 7th Gen - (4 GB/1 TB HDD/Linux) in...,25490.0,"14 inch, Platinum Silver, 1.79 kg",4.1,13 
21,Asus Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) ...,26990.0,"15.6 inch, Silver Gradient, 2 kg",4,15 
22,Acer Predator Triton 300 Core i5 9th Gen - (8 GB/1 TB H...,67990.0,"15.6 inch, Abyssal Black, 2.3 kg",4.6,23 
23,Lenovo Ideapad S145 Core i5 8th Gen - (8 GB/1 TB HDD/25...,43990.0,"15.6 inch, Platinum Grey, 1.85 kg, With MS Office",4.1,34 
24,Lenovo Ideapad 330 Core i5 8th Gen - (8 GB/1 TB HDD/DOS...,39990.0,"15.6 inch, Onyx Black, 2.2 kg",4.4,39 
25,MSI Modern 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windo...,49990.0,"14 inch, Silver, 1.19 kg",4.6,28 
26,HP 14q Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home...,41990.0,"14 inch, Smoke Grey, 1.47 kg, With MS Office",4.2,9 
27,Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows...,47990.0,"15.6 inch, Obsidian Black, 2.3 kg",4.4,21 
28,Asus Core i3 7th Gen - (4 GB/256 GB SSD/Windows 10 Home...,27890.0,"15.6 inch, Slate Grey, 1.9 kg",4.3,26 
29,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,51990.0,"14 inch, Firmament Green, 1.40 kg",4.5,24 
30,HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/256 GB SSD/Win...,29490.0,"15.6 inch, Natural Silver, 2.04 kg, With MS Office",3.8,26 
31,Dell G3 Series Core i5 8th Gen - (8 GB/1 TB HDD/128 GB ...,57990.0,"15.6 inch, Licorice Black, 2.53 kg, With MS Office",4.4,23 
32,HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/12...,56990.0,"15.6 inch, Shadow Black, 2.19 kg",4.5,16 
33,Asus Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home...,35950.0,"15.6 inch, Transparent Silver, 1.9 kg",4.3,28 
34,Asus VivoBook 14 Ryzen 5 Quad Core 2nd Gen - (8 GB/512 ...,39990.0,"14 inch, Slate Grey, 1.5 kg",4.4,24 
35,HP Pavilion x360 Core i3 8th Gen - (4 GB/256 GB SSD/Win...,42130.0,"14 inch, Natural Silver, 1.59 kg, With MS Office",4.5,5 
36,HP 15q Core i3 7th Gen - (8 GB/1 TB HDD/DOS) 15q-ds0017...,30990.0,"15.6 inch, Sparkling Black, 2.04 kg",4.3,10 
37,HP APU Dual Core A6 - (4 GB/1 TB HDD/DOS) 245 G7 Laptop,17090.0,"14 inch, Grey, 2.1 kg",3.9,25 
38,Dell Vostro 14 3000 Core i5 8th Gen - (8 GB/1 TB HDD/Li...,41990.0,"14 inch, Black, 1.79 kg",4.3,16 
39,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD...,51990.0,"14 inch, Red, Starry Grey, 1.40 kg",4.5,24 
